model,forecast_date,horizon,reference_date,location,source,y_true,median,wis,mae,cov_50,cov_95
patchtst,2024-03-09,2,2024-03-16,US,flusight,7326.0,7346.58935546875,210.14672342051625,20.58935546875,True,True
patchtst,2024-03-09,3,2024-03-23,US,flusight,6043.0,6931.15478515625,506.96405634341033,888.15478515625,False,True
patchtst,2024-03-09,4,2024-03-30,US,flusight,5581.0,6499.50927734375,546.7670673403533,918.50927734375,False,True
patchtst,2024-03-16,1,2024-03-16,US,flusight,7326.0,8119.65234375,504.84574940557064,793.65234375,False,True
patchtst,2024-03-16,2,2024-03-23,US,flusight,6043.0,7511.20458984375,980.4242399796196,1468.20458984375,False,False
patchtst,2024-03-16,3,2024-03-30,US,flusight,5581.0,6961.841796875,856.240682532269,1380.841796875,False,True
patchtst,2024-03-16,4,2024-04-06,US,flusight,5074.0,6432.890625,890.1375352411685,1358.890625,False,True
patchtst,2024-03-23,1,2024-03-23,US,flusight,6043.0,7340.25048828125,867.7912417204483,1297.25048828125,False,True
patchtst,2024-03-23,2,2024-03-30,US,flusight,5581.0,6802.63330078125,873.9939408542799,1221.63330078125,False,False
patchtst,2024-03-23,3,2024-04-06,US,flusight,5074.0,6774.27294921875,1169.7004152513587,1700.27294921875,False,True
patchtst,2024-03-23,4,2024-04-13,US,flusight,4077.0,6676.67041015625,1826.5111090353262,2599.67041015625,False,True
patchtst,2024-03-30,1,2024-03-30,US,flusight,5581.0,7042.75048828125,887.1470276409648,1461.75048828125,False,True
patchtst,2024-03-30,2,2024-04-06,US,flusight,5074.0,6727.3984375,1152.694801290761,1653.3984375,False,False
patchtst,2024-03-30,3,2024-04-13,US,flusight,4077.0,6483.46044921875,1678.5167094089677,2406.46044921875,False,False
patchtst,2024-03-30,4,2024-04-20,US,flusight,2943.0,6357.56005859375,2567.515394021739,3414.56005859375,False,False
patchtst,2024-04-06,1,2024-04-06,US,flusight,5074.0,6061.70458984375,504.78752929687505,987.70458984375,False,True
patchtst,2024-04-06,2,2024-04-13,US,flusight,4077.0,5746.9462890625,1172.0316111158288,1669.9462890625,False,False
patchtst,2024-04-06,3,2024-04-20,US,flusight,2943.0,5618.05615234375,1991.8333389945653,2675.05615234375,False,False
patchtst,2024-04-06,4,2024-04-27,US,flusight,2417.0,5871.3837890625,2757.0612105129076,3454.3837890625,False,False
patchtst,2024-04-13,1,2024-04-13,US,flusight,4077.0,5796.80517578125,1208.4941809612772,1719.80517578125,False,False
patchtst,2024-04-13,2,2024-04-20,US,flusight,2943.0,5439.81787109375,2136.115371730639,2496.81787109375,False,False
patchtst,2024-04-13,3,2024-04-27,US,flusight,2417.0,5282.28125,2333.7582377292797,2865.28125,False,False
patchtst,2024-04-13,4,2024-05-04,US,flusight,1486.0,5070.68994140625,3215.4541261888594,3584.68994140625,False,False
patchtst,2024-04-20,1,2024-04-20,US,flusight,2943.0,4875.646484375,1339.0549796195653,1932.646484375,False,False
patchtst,2024-04-20,2,2024-04-27,US,flusight,2417.0,4560.06005859375,1758.9216117527174,2143.06005859375,False,False
patchtst,2024-04-20,3,2024-05-04,US,flusight,1486.0,4385.79443359375,2393.913851902174,2899.79443359375,False,False
patchtst,2024-04-20,4,2024-05-11,US,flusight,852.0,4095.263671875,2861.97397715693,3243.263671875,False,False
patchtst,2024-04-27,1,2024-04-27,US,flusight,2417.0,3852.51123046875,850.6302950917121,1435.51123046875,False,True
patchtst,2024-04-27,2,2024-05-04,US,flusight,1486.0,3536.5966796875,1600.5601307744566,2050.5966796875,False,False
patchtst,2024-04-27,3,2024-05-11,US,flusight,852.0,3305.6748046875,1952.3344690472147,2453.6748046875,False,False
patchtst,2024-04-27,4,2024-05-18,US,flusight,681.0,3072.25390625,1966.076494140625,2391.25390625,False,False
patchtst,2023-11-04,1,2023-11-04,06,flusight,97.0,99.80599975585938,6.345615952533223,2.805999755859375,True,True
patchtst,2023-11-04,2,2023-11-11,06,flusight,231.0,123.33718872070312,57.359792737546165,107.66281127929688,False,True
patchtst,2023-11-04,3,2023-11-18,06,flusight,372.0,166.12289428710938,118.46721691463304,205.87710571289062,False,True
patchtst,2023-11-04,4,2023-11-25,06,flusight,459.0,203.6561737060547,138.5892342741593,255.3438262939453,False,True
patchtst,2023-11-11,1,2023-11-11,06,flusight,231.0,138.70425415039062,52.5991449455593,92.29574584960938,False,True
patchtst,2023-11-11,2,2023-11-18,06,flusight,372.0,210.3254852294922,86.0188301583995,161.6745147705078,False,True
patchtst,2023-11-11,3,2023-11-25,06,flusight,459.0,315.196044921875,72.96786980007006,143.803955078125,False,True
patchtst,2023-11-11,4,2023-12-02,06,flusight,683.0,426.56683349609375,124.94194021805471,256.43316650390625,False,True
patchtst,2023-11-18,1,2023-11-18,06,flusight,372.0,273.747314453125,48.0491067637568,98.252685546875,True,True
patchtst,2023-11-18,2,2023-11-25,06,flusight,459.0,338.0069580078125,63.702711619501535,120.9930419921875,True,True
patchtst,2023-11-18,3,2023-12-02,06,flusight,683.0,416.69647216796875,134.2672128561269,266.30352783203125,False,True
patchtst,2023-11-18,4,2023-12-09,06,flusight,868.0,461.73248291015625,195.8785579382855,406.26751708984375,False,True
patchtst,2023-11-25,1,2023-11-25,06,flusight,459.0,484.7698974609375,40.81189386119013,25.7698974609375,True,True
patchtst,2023-11-25,2,2023-12-02,06,flusight,683.0,597.972412109375,74.56255336595618,85.027587890625,True,True
patchtst,2023-11-25,3,2023-12-09,06,flusight,868.0,665.7337036132812,131.39586924677312,202.26629638671875,True,True
patchtst,2023-11-25,4,2023-12-16,06,flusight,1077.0,656.999267578125,212.77943854290504,420.000732421875,True,True
patchtst,2023-12-02,1,2023-12-02,06,flusight,683.0,504.4357604980469,88.63254085374915,178.56423950195312,False,True
patchtst,2023-12-02,2,2023-12-09,06,flusight,868.0,526.7696533203125,175.95960636304773,341.2303466796875,False,True
patchtst,2023-12-02,3,2023-12-16,06,flusight,1077.0,479.01666259765625,319.6203475421408,597.9833374023438,False,True
patchtst,2023-12-02,4,2023-12-23,06,flusight,1763.0,354.24932861328125,879.6443555052384,1408.7506713867188,False,True
patchtst,2023-12-09,1,2023-12-09,06,flusight,868.0,698.0874633789062,91.2491915230129,169.91253662109375,True,True
patchtst,2023-12-09,2,2023-12-16,06,flusight,1077.0,694.531982421875,191.95125712519106,382.468017578125,False,True
patchtst,2023-12-09,3,2023-12-23,06,flusight,1763.0,601.63720703125,682.5633530857252,1161.36279296875,False,True
patchtst,2023-12-09,4,2023-12-30,06,flusight,1810.0,419.7983703613281,799.6703805276621,1390.2016296386719,False,True
patchtst,2023-12-16,1,2023-12-16,06,flusight,1077.0,855.1531982421875,116.37478028670601,221.8468017578125,True,True
patchtst,2023-12-16,2,2023-12-23,06,flusight,1763.0,813.3806762695312,546.511864279042,949.6193237304688,False,True
patchtst,2023-12-16,3,2023-12-30,06,flusight,1810.0,683.1851196289062,637.3532800558339,1126.8148803710938,False,True
patchtst,2023-12-16,4,2024-01-06,06,flusight,1470.0,449.1258239746094,518.4860010395879,1020.8741760253906,False,True
patchtst,2023-12-23,1,2023-12-23,06,flusight,1763.0,982.9307861328125,464.90838564665415,780.0692138671875,False,True
patchtst,2023-12-23,2,2023-12-30,06,flusight,1810.0,899.7051391601562,490.8941494618292,910.2948608398438,False,True
patchtst,2023-12-23,3,2024-01-06,06,flusight,1470.0,744.8421630859375,375.75122736391813,725.1578369140625,False,True
patchtst,2023-12-23,4,2024-01-13,06,flusight,1075.0,476.0513916015625,278.94290206245756,598.9486083984375,False,True
patchtst,2023-12-30,1,2023-12-30,06,flusight,1810.0,1721.049560546875,132.11195705247962,88.950439453125,True,True
patchtst,2023-12-30,2,2024-01-06,06,flusight,1470.0,1663.8448486328125,219.31109977390454,193.8448486328125,True,True
patchtst,2023-12-30,3,2024-01-13,06,flusight,1075.0,1512.602783203125,295.6164102570907,437.602783203125,True,True
patchtst,2023-12-30,4,2024-01-20,06,flusight,1096.0,1112.867431640625,270.50110696543817,16.867431640625,True,True
patchtst,2024-01-06,1,2024-01-06,06,flusight,1470.0,1513.372802734375,114.71177832561989,43.372802734375,True,True
patchtst,2024-01-06,2,2024-01-13,06,flusight,1075.0,1343.38330078125,206.5785114056131,268.38330078125,True,True
patchtst,2024-01-06,3,2024-01-20,06,flusight,1096.0,1105.822998046875,178.85707556683084,9.822998046875,True,True
patchtst,2024-01-06,4,2024-01-27,06,flusight,732.0,664.4098510742188,180.83936581818955,67.59014892578125,True,True
patchtst,2024-01-13,1,2024-01-13,06,flusight,1075.0,991.9717407226562,78.19105678392494,83.02825927734375,True,True
patchtst,2024-01-13,2,2024-01-20,06,flusight,1096.0,803.0154418945312,154.1489544412364,292.98455810546875,True,True
patchtst,2024-01-13,3,2024-01-27,06,flusight,732.0,581.0719604492188,106.49518972645633,150.92803955078125,True,True
patchtst,2024-01-13,4,2024-02-03,06,flusight,547.0,308.7054443359375,127.87650912077531,238.2945556640625,False,True
patchtst,2024-01-20,1,2024-01-20,06,flusight,1096.0,719.5753173828125,199.5430399753736,376.4246826171875,False,True
patchtst,2024-01-20,2,2024-01-27,06,flusight,732.0,526.0940551757812,110.07046987782354,205.90594482421875,True,True
patchtst,2024-01-20,3,2024-02-03,06,flusight,547.0,294.37310791015625,131.60424019191575,252.62689208984375,False,True
patchtst,2024-01-20,4,2024-02-10,06,flusight,464.0,131.12515258789062,186.3828465735394,332.8748474121094,False,True
patchtst,2024-01-27,1,2024-01-27,06,flusight,732.0,647.6558227539062,66.99368502409563,84.34417724609375,True,True
patchtst,2024-01-27,2,2024-02-03,06,flusight,547.0,460.5813903808594,68.2766481084409,86.41860961914062,True,True
patchtst,2024-01-27,3,2024-02-10,06,flusight,464.0,282.0823974609375,102.05936778192937,181.9176025390625,False,True
patchtst,2024-01-27,4,2024-02-17,06,flusight,342.0,165.41009521484375,100.78113493546196,176.58990478515625,False,True
patchtst,2024-02-03,1,2024-02-03,06,flusight,547.0,456.73785400390625,64.00783057171365,90.26214599609375,True,True
patchtst,2024-02-03,2,2024-02-10,06,flusight,464.0,308.9107360839844,85.27681606126869,155.08926391601562,False,True
patchtst,2024-02-03,3,2024-02-17,06,flusight,342.0,162.15728759765625,97.51769403872282,179.84271240234375,False,True
patchtst,2024-02-03,4,2024-02-24,06,flusight,302.0,78.1329345703125,127.21617893384851,223.8670654296875,False,True
patchtst,2024-02-10,1,2024-02-10,06,flusight,464.0,359.50518798828125,58.15818993609885,104.49481201171875,True,True
patchtst,2024-02-10,2,2024-02-17,06,flusight,342.0,252.696044921875,52.551453671662706,89.303955078125,False,True
