model,forecast_date,horizon,reference_date,location,source,y_true,median,wis,mae,cov_50,cov_95
mist,2024-01-06,2,2024-01-13,US,flusight,15919.0,15342.9189453125,1915.8783566151494,576.0810546875,True,True
mist,2024-01-06,3,2024-01-20,US,flusight,13308.0,19348.59375,3989.2089075237773,6040.59375,True,True
mist,2024-01-06,4,2024-01-27,US,flusight,12993.0,24046.99609375,6047.707523777173,11053.99609375,True,True
mist,2024-01-13,1,2024-01-13,US,flusight,15919.0,8576.6552734375,4459.437917798913,7342.3447265625,False,True
mist,2024-01-13,2,2024-01-20,US,flusight,13308.0,8906.3330078125,2830.4885797384513,4401.6669921875,False,True
mist,2024-01-13,3,2024-01-27,US,flusight,12993.0,8490.294921875,2428.068490574049,4502.705078125,False,True
mist,2024-01-13,4,2024-02-03,US,flusight,11965.0,9444.4345703125,1980.2862780230978,2520.5654296875,True,True
mist,2024-01-20,1,2024-01-20,US,flusight,13308.0,7741.3896484375,3336.497686502208,5566.6103515625,False,True
mist,2024-01-20,2,2024-01-27,US,flusight,12993.0,7385.61376953125,3752.563691830843,5607.38623046875,False,True
mist,2024-01-20,3,2024-02-03,US,flusight,11965.0,6835.6220703125,2831.3645560886553,5129.3779296875,False,True
mist,2024-01-20,4,2024-02-10,US,flusight,11638.0,6590.0341796875,2514.796137058424,5047.9658203125,False,True
mist,2024-01-27,1,2024-01-27,US,flusight,12993.0,5401.5078125,5203.984414487093,7591.4921875,False,False
mist,2024-01-27,2,2024-02-03,US,flusight,11965.0,5261.21484375,5093.006399244226,6703.78515625,False,False
mist,2024-01-27,3,2024-02-10,US,flusight,11638.0,4284.51416015625,4646.613411387569,7353.48583984375,False,True
mist,2024-01-27,4,2024-02-17,US,flusight,11135.0,4121.0859375,4217.458881199049,7013.9140625,False,True
mist,2024-02-03,1,2024-02-03,US,flusight,11965.0,5546.5244140625,3873.7319879415763,6418.4755859375,False,True
mist,2024-02-03,2,2024-02-10,US,flusight,11638.0,5011.263671875,4150.412791270382,6626.736328125,False,True
mist,2024-02-03,3,2024-02-17,US,flusight,11135.0,4408.01513671875,3650.637602751359,6726.98486328125,False,True
mist,2024-02-03,4,2024-02-24,US,flusight,10874.0,4818.2041015625,3229.0914079483696,6055.7958984375,False,True
mist,2024-02-10,1,2024-02-10,US,flusight,11638.0,3979.53271484375,5299.590008067255,7658.46728515625,False,True
mist,2024-02-10,2,2024-02-17,US,flusight,11135.0,3556.36865234375,5441.169069718071,7578.63134765625,False,False
mist,2024-02-10,3,2024-02-24,US,flusight,10874.0,3110.06591796875,5309.267156504756,7763.93408203125,False,True
mist,2024-02-10,4,2024-03-02,US,flusight,10826.0,2960.16259765625,5240.379749490489,7865.83740234375,False,True
mist,2024-02-17,1,2024-02-17,US,flusight,11135.0,5310.59912109375,3871.6599061650813,5824.40087890625,False,True
mist,2024-02-17,2,2024-02-24,US,flusight,10874.0,5062.328125,4122.486859714674,5811.671875,False,False
mist,2024-02-17,3,2024-03-02,US,flusight,10826.0,4565.70068359375,4254.286717051631,6260.29931640625,False,True
mist,2024-02-17,4,2024-03-09,US,flusight,9421.0,4404.62548828125,3145.106241932745,5016.37451171875,False,True
mist,2024-02-24,1,2024-02-24,US,flusight,10874.0,5825.8056640625,3211.917653914742,5048.1943359375,False,True
mist,2024-02-24,2,2024-03-02,US,flusight,10826.0,5543.32958984375,3519.7470452615494,5282.67041015625,False,True
mist,2024-02-24,3,2024-03-09,US,flusight,9421.0,5084.18310546875,2500.976242357337,4336.81689453125,False,True
