release_date,region,issue,epiweek,lag,num_ili,num_patients,num_providers,num_age_0,num_age_1,num_age_2,num_age_3,num_age_4,num_age_5,wili,ili
2013-12-31,nat,201352,200109,669,2606,150399,511,683.0,1008.0,752.0,,,163.0,1.90166591811706,1.73272428673063
2013-12-31,nat,201352,200110,668,2562,155916,510,622.0,934.0,854.0,,,152.0,1.68032660334871,1.64319248826291
2013-12-31,nat,201352,200111,667,1943,143075,472,524.0,762.0,522.0,,,135.0,1.62539726626144,1.35802900576621
2013-12-31,nat,201352,200112,666,1879,135154,460,485.0,751.0,507.0,,,136.0,1.45956702845543,1.39026591887772
2013-12-31,nat,201352,200113,665,1590,129934,442,465.0,575.0,419.0,,,131.0,1.32375912761136,1.2236981852325
2013-12-31,nat,201352,200114,664,1256,112235,371,288.0,421.0,421.0,,,126.0,0.920073256501014,1.11908050073506
2013-12-31,nat,201352,200115,663,950,101175,349,219.0,344.0,305.0,,,82.0,0.779256523069471,0.938967136150235
2013-12-31,nat,201352,200116,662,997,105580,342,234.0,331.0,344.0,,,88.0,0.991302636885774,0.944307634021595
2013-12-31,nat,201352,200117,661,771,103824,334,198.0,274.0,253.0,,,46.0,0.826930031204744,0.742602866389274
2013-12-31,nat,201352,200118,660,734,99802,322,173.0,265.0,225.0,,,71.0,0.588951894009596,0.735456203282499
2013-12-31,nat,201352,200119,659,671,92532,293,165.0,250.0,196.0,,,60.0,0.605586208138244,0.725154541131717
2013-12-31,nat,201352,200120,658,470,70113,262,94.0,179.0,159.0,,,38.0,0.494339755406658,0.670346440745653
2013-12-31,nat,201352,200140,638,1368,137156,607,429.0,485.0,372.0,,,82.0,1.41045679588185,0.99740441541019
2013-12-31,nat,201352,200141,637,1747,159264,646,479.0,628.0,526.0,,,114.0,1.77019290899842,1.09692083584489
2013-12-31,nat,201352,200142,636,1932,165425,690,562.0,697.0,560.0,,,113.0,1.61903812641369,1.16790086141756
2013-12-31,nat,201352,200143,635,2204,174566,710,567.0,876.0,643.0,,,118.0,1.77064689785842,1.26255971953301
2013-12-31,nat,201352,200144,634,2371,182365,746,655.0,883.0,665.0,,,168.0,1.93890691372956,1.30013982946289
2013-12-31,nat,201352,200145,633,2327,190992,758,626.0,865.0,687.0,,,149.0,1.63439405991704,1.21837563877021
2013-12-31,nat,201352,200146,632,2508,187174,770,693.0,862.0,811.0,,,142.0,1.90363138170806,1.33992969108957
2013-12-31,nat,201352,200147,631,2090,141523,764,602.0,643.0,698.0,,,147.0,1.80556135202641,1.47679175823011
2013-12-31,nat,201352,200148,630,2566,181932,728,638.0,866.0,877.0,,,185.0,1.75505696330995,1.4104170789086
