season,model,forecast_date,reference_date,location,horizon,y_true,median,wis,mae
2022-23,patchtst,2023-04-22,2023-04-22,53,1,18.0,25.581356048583984,5.191717184315557,7.581356048583984
2022-23,patchtst,2023-04-22,2023-04-29,53,2,14.0,24.013202667236328,6.447149200439453,10.013202667236328
2022-23,patchtst,2023-04-22,2023-05-06,53,3,13.0,19.740097045898438,6.105385194861371,6.7400970458984375
2022-23,patchtst,2023-04-22,2023-05-13,53,4,10.0,31.241214752197266,12.565415559851603,21.241214752197266
2022-23,patchtst,2023-04-29,2023-04-29,53,1,14.0,25.309452056884766,6.991485327015753,11.309452056884766
2022-23,patchtst,2023-04-29,2023-05-06,53,2,13.0,23.48175811767578,5.56594878486965,10.481758117675781
2022-23,patchtst,2023-04-29,2023-05-13,53,3,10.0,22.492645263671875,9.384746141848359,12.492645263671875
2022-23,patchtst,2023-04-29,2023-05-20,53,4,13.0,30.454683303833008,10.273386459350586,17.454683303833008
2022-23,patchtst,2022-11-05,2022-11-05,54,1,89.0,29.863080978393555,43.96574840815171,59.136919021606445
2022-23,patchtst,2022-11-05,2022-11-12,54,2,127.0,30.40606117248535,76.26951121060745,96.59393882751465
2022-23,patchtst,2022-11-05,2022-11-19,54,3,136.0,33.49134826660156,73.96877741150233,102.50865173339844
2022-23,patchtst,2022-11-05,2022-11-26,54,4,189.0,36.993682861328125,109.89506597062815,152.00631713867188
2022-23,patchtst,2022-11-12,2022-11-12,54,1,127.0,60.25273132324219,41.48219862440358,66.74726867675781
2022-23,patchtst,2022-11-12,2022-11-19,54,2,136.0,64.60472106933594,47.46090782248456,71.39527893066406
2022-23,patchtst,2022-11-12,2022-11-26,54,3,189.0,66.85160827636719,73.86566353072291,122.14839172363281
2022-23,patchtst,2022-11-12,2022-12-03,54,4,318.0,69.65016174316406,169.7228771350695,248.34983825683594
2022-23,patchtst,2022-11-19,2022-11-19,54,1,136.0,97.65760803222656,19.977852296414586,38.34239196777344
2022-23,patchtst,2022-11-19,2022-11-26,54,2,189.0,102.53652954101562,53.96532925232598,86.46347045898438
2022-23,patchtst,2022-11-19,2022-12-03,54,3,318.0,103.37737274169922,137.2778881748863,214.62262725830078
2022-23,patchtst,2022-11-19,2022-12-10,54,4,246.0,108.34310913085938,68.69606011100437,137.65689086914062
2022-23,patchtst,2022-11-26,2022-11-26,54,1,189.0,114.11933898925781,42.72204716558041,74.88066101074219
2022-23,patchtst,2022-11-26,2022-12-03,54,2,318.0,110.39318084716797,150.23235626137776,207.60681915283203
2022-23,patchtst,2022-11-26,2022-12-10,54,3,246.0,103.60850524902344,76.21847978343135,142.39149475097656
2022-23,patchtst,2022-11-26,2022-12-17,54,4,199.0,104.20344543457031,45.99131093232528,94.79655456542969
2022-23,patchtst,2022-12-03,2022-12-03,54,1,318.0,160.04286193847656,105.68935651364536,157.95713806152344
2022-23,patchtst,2022-12-03,2022-12-10,54,2,246.0,150.35345458984375,53.53084521252176,95.64654541015625
2022-23,patchtst,2022-12-03,2022-12-17,54,3,199.0,144.01181030273438,26.84583408438641,54.988189697265625
2022-23,patchtst,2022-12-03,2022-12-24,54,4,155.0,145.63211059570312,26.599483095251998,9.367889404296875
