date,location,location_name,value,value_weighted,num_ili,num_patients
2017-03-05,de,DE,0.790254,0.790254,24,3037
2017-03-05,ga,GA,4.4781,4.4781,2487,55537
2017-03-05,hi,HI,4.629,4.629,68,1469
2017-03-05,ia,IA,1.27674,1.27674,37,2898
2017-03-05,id,ID,1.47433,1.47433,29,1967
2017-03-05,il,IL,3.61994,3.61994,1759,48592
2017-03-05,in,IN,5.10224,5.10224,262,5135
2017-03-05,ks,KS,4.38786,4.38786,305,6951
2017-03-05,ky,KY,6.71037,6.71037,696,10372
2017-03-05,la,LA,3.95981,3.95981,2156,54447
2017-03-05,ma,MA,1.67908,1.67908,460,27396
2017-03-05,md,MD,3.541,3.541,345,9743
2017-03-05,me,ME,1.63965,1.63965,88,5367
2017-03-05,mi,MI,3.48875,3.48875,868,24880
2017-03-05,mn,MN,3.58261,3.58261,206,5750
2017-03-05,mo,MO,3.1356,3.1356,231,7367
2017-03-05,ms,MS,5.41306,5.41306,937,17310
2017-03-05,mt,MT,0.204499,0.204499,7,3423
2017-03-05,nat,NAT,3.29578,3.50492,28051,851118
2017-03-05,nc,NC,5.24093,5.24093,670,12784
2017-03-05,nd,ND,3.4018,3.4018,53,1558
2017-03-05,ne,NE,1.54799,1.54799,45,2907
2017-03-05,nh,NH,1.06908,1.06908,39,3648
2017-03-05,nj,NJ,3.8477,3.8477,575,14944
2017-03-05,nm,NM,3.33499,3.33499,402,12054
2017-03-05,nv,NV,1.07925,1.07925,201,18624
2017-03-05,oh,OH,2.07281,2.07281,435,20986
2017-03-05,ok,OK,6.91892,6.91892,320,4625
2017-03-05,or,OR,1.59095,1.59095,97,6097
2017-03-05,pa,PA,2.61716,2.61716,301,11501
2017-03-05,ri,RI,2.57117,2.57117,112,4356
2017-03-05,sc,SC,5.39361,5.39361,346,6415
2017-03-05,sd,SD,2.47416,2.47416,225,9094
2017-03-05,tn,TN,6.41042,6.41042,507,7909
2017-03-05,tx,TX,7.26928,7.26928,2107,28985
2017-03-05,ut,UT,0.61082,0.61082,98,16044
2017-03-05,va,VA,3.60225,3.60225,3677,102075
2017-03-05,vt,VT,1.99492,1.99492,55,2757
2017-03-05,wa,WA,0.391389,0.391389,20,5110
2017-03-05,wi,WI,2.55391,2.55391,167,6539
2017-03-05,wv,WV,3.13655,3.13655,798,25442
2017-03-05,wy,WY,2.53111,2.53111,120,4741
2017-03-12,ak,AK,2.35988,2.35988,40,1695
2017-03-12,al,AL,5.96548,5.96548,477,7996
2017-03-12,ar,AR,3.55401,3.55401,153,4305
2017-03-12,az,AZ,2.19247,2.19247,506,23079
2017-03-12,ca,CA,2.3373,2.3373,1155,49416
2017-03-12,co,CO,1.2087,1.2087,45,3723
2017-03-12,ct,CT,3.3579,3.3579,41,1221
2017-03-12,dc,DC,9.05088,9.05088,185,2044
2017-03-12,de,DE,0.526316,0.526316,13,2470
2017-03-12,ga,GA,4.72268,4.72268,2683,56811
2017-03-12,hi,HI,2.76008,2.76008,39,1413
2017-03-12,ia,IA,0.612053,0.612053,13,2124
2017-03-12,id,ID,1.08268,1.08268,22,2032
2017-03-12,il,IL,3.18906,3.18906,1450,45468
2017-03-12,in,IN,4.53867,4.53867,213,4693
2017-03-12,ks,KS,4.27592,4.27592,287,6712
2017-03-12,ky,KY,7.54849,7.54849,755,10002
2017-03-12,la,LA,3.73332,3.73332,2003,53652
2017-03-12,ma,MA,1.78344,1.78344,435,24391
2017-03-12,md,MD,3.89496,3.89496,310,7959
2017-03-12,me,ME,1.84502,1.84502,85,4607
2017-03-12,mi,MI,3.26327,3.26327,753,23075
2017-03-12,mn,MN,2.78864,2.78864,164,5881
2017-03-12,mo,MO,2.52691,2.52691,169,6688
2017-03-12,ms,MS,4.78162,4.78162,843,17630
2017-03-12,mt,MT,0.252101,0.252101,9,3570
2017-03-12,nat,NAT,3.16311,3.21406,25484,805664
2017-03-12,nc,NC,3.25811,3.25811,423,12983
2017-03-12,nd,ND,1.87647,1.87647,24,1279
2017-03-12,ne,NE,1.98883,1.98883,57,2866
2017-03-12,nh,NH,1.24528,1.24528,33,2650
2017-03-12,nj,NJ,3.37878,3.37878,451,13348
2017-03-12,nm,NM,3.26966,3.26966,368,11255
2017-03-12,nv,NV,1.22788,1.22788,238,19383
2017-03-12,oh,OH,2.01427,2.01427,401,19908
2017-03-12,ok,OK,6.32794,6.32794,274,4330
2017-03-12,or,OR,2.26988,2.26988,127,5595
2017-03-12,pa,PA,2.88777,2.88777,299,10354
2017-03-12,ri,RI,1.94205,1.94205,63,3244
2017-03-12,sc,SC,6.40835,6.40835,387,6039
2017-03-12,sd,SD,2.65565,2.65565,241,9075
2017-03-12,tn,TN,3.776,3.776,325,8607
2017-03-12,tx,TX,5.85242,5.85242,1403,23973
2017-03-12,ut,UT,0.586114,0.586114,91,15526
2017-03-12,va,VA,3.60761,3.60761,3654,101286
2017-03-12,vt,VT,1.61962,1.61962,35,2161
2017-03-12,wa,WA,0.638507,0.638507,26,4072
2017-03-12,wi,WI,2.53512,2.53512,157,6193
2017-03-12,wv,WV,3.32656,3.32656,769,23117
2017-03-12,wy,WY,1.56028,1.56028,66,4230
2017-03-19,ak,AK,2.5196,2.5196,45,1786
2017-03-19,al,AL,6.78633,6.78633,586,8635
2017-03-19,ar,AR,3.99485,3.99485,124,3104
2017-03-19,az,AZ,2.22293,2.22293,559,25147
2017-03-19,ca,CA,1.95979,1.95979,925,47199
2017-03-19,co,CO,1.84162,1.84162,60,3258
2017-03-19,ct,CT,2.20472,2.20472,98,4445
2017-03-19,dc,DC,7.8258,7.8258,239,3054
2017-03-19,de,DE,0.336247,0.336247,10,2974
2017-03-19,ga,GA,5.21483,5.21483,3146,60328
2017-03-19,hi,HI,3.30948,3.30948,37,1118
2017-03-19,ia,IA,0.634518,0.634518,25,3940
2017-03-19,id,ID,0.583771,0.583771,10,1713
2017-03-19,il,IL,3.10204,3.10204,1440,46421
2017-03-19,in,IN,3.23067,3.23067,193,5974
2017-03-19,ks,KS,4.0404,4.0404,224,5544
2017-03-19,ky,KY,8.17308,8.17308,850,10400
2017-03-19,la,LA,3.37963,3.37963,1859,55006
2017-03-19,ma,MA,1.82552,1.82552,556,30457
2017-03-19,md,MD,3.27304,3.27304,304,9288
2017-03-19,me,ME,2.24138,2.24138,104,4640
2017-03-19,mi,MI,3.21732,3.21732,807,25083
2017-03-19,mn,MN,3.01904,3.01904,203,6724
2017-03-19,mo,MO,2.01827,2.01827,137,6788
2017-03-19,ms,MS,3.72348,3.72348,795,21351
2017-03-19,mt,MT,0.0403877,0.0403877,1,2476
2017-03-19,nat,NAT,3.1402,3.09854,27371,871632
2017-03-19,nc,NC,5.45548,5.45548,848,15544
2017-03-19,nd,ND,1.54749,1.54749,29,1874
2017-03-19,ne,NE,1.35802,1.35802,44,3240
2017-03-19,nh,NH,1.09769,1.09769,40,3644
2017-03-19,nj,NJ,3.26398,3.26398,513,15717
2017-03-19,nm,NM,2.37158,2.37158,253,10668
2017-03-19,nv,NV,0.972422,0.972422,189,19436
2017-03-19,oh,OH,2.15581,2.15581,435,20178
2017-03-19,ok,OK,6.54985,6.54985,314,4794
2017-03-19,or,OR,1.55855,1.55855,74,4748
2017-03-19,pa,PA,2.35755,2.35755,259,10986
2017-03-19,ri,RI,2.66774,2.66774,132,4948
2017-03-19,sc,SC,7.67776,7.67776,487,6343
2017-03-19,sd,SD,1.9214,1.9214,176,9160
2017-03-19,tn,TN,5.9162,5.9162,617,10429
2017-03-19,tx,TX,4.48645,4.48645,1258,28040
2017-03-19,ut,UT,0.593898,0.593898,95,15996
2017-03-19,va,VA,3.86367,3.86367,4173,108006
2017-03-19,vt,VT,1.48831,1.48831,42,2822
2017-03-19,wa,WA,0.467389,0.467389,22,4707
2017-03-19,wi,WI,2.12182,2.12182,116,5467
2017-03-19,wv,WV,2.95147,2.95147,683,23141
2017-03-19,wy,WY,1.80465,1.80465,80,4433
2017-03-26,ak,AK,4.30168,4.30168,77,1790
2017-03-26,al,AL,5.18245,5.18245,365,7043
2017-03-26,ar,AR,2.73072,2.73072,108,3955
2017-03-26,az,AZ,2.36382,2.36382,542,22929
2017-03-26,ca,CA,1.96521,1.96521,845,42998
2017-03-26,co,CO,1.39035,1.39035,53,3812
2017-03-26,ct,CT,2.34073,2.34073,97,4144
2017-03-26,dc,DC,7.14286,7.14286,207,2898
2017-03-26,de,DE,0.570661,0.570661,17,2979
2017-03-26,ga,GA,4.19851,4.19851,2505,59664
2017-03-26,hi,HI,2.78373,2.78373,26,934
2017-03-26,ia,IA,0.279472,0.279472,11,3936
