reference_date,location,value,post_mandatory
2026-02-07,AK,16.0,True
2026-02-14,AK,15.0,True
2026-02-21,AK,8.0,True
2026-02-28,AK,5.0,True
2026-03-07,AK,16.0,True
2026-03-14,AK,13.0,True
2026-03-21,AK,10.0,True
2026-03-28,AK,9.0,True
2026-04-04,AK,7.0,True
2026-04-11,AK,10.0,True
2026-04-18,AK,3.0,True
2026-04-25,AK,5.0,True
2026-05-02,AK,3.0,True
2026-05-09,AK,4.0,True
2026-05-16,AK,0.0,True
2026-05-23,AK,0.0,True
2020-10-24,AL,3.0,False
2020-10-31,AL,18.0,False
2020-11-07,AL,21.0,False
2020-11-14,AL,25.0,False
2020-11-21,AL,11.0,False
2020-11-28,AL,17.0,False
2020-12-05,AL,12.0,False
2020-12-12,AL,6.0,False
2020-12-19,AL,35.0,False
2020-12-26,AL,19.0,False
2021-01-02,AL,20.0,False
2021-01-09,AL,33.0,False
2021-01-16,AL,42.0,False
2021-01-23,AL,22.0,False
2021-01-30,AL,46.0,False
2021-02-06,AL,37.0,False
2021-02-13,AL,33.0,False
2021-02-20,AL,29.0,False
2021-02-27,AL,31.0,False
2021-03-06,AL,29.0,False
2021-03-13,AL,23.0,False
2021-03-20,AL,28.0,False
2021-03-27,AL,18.0,False
2021-04-03,AL,10.0,False
2021-04-10,AL,13.0,False
2021-04-17,AL,11.0,False
2021-04-24,AL,32.0,False
2021-05-01,AL,20.0,False
2021-05-08,AL,14.0,False
2021-05-15,AL,19.0,False
2021-05-22,AL,16.0,False
2021-05-29,AL,15.0,False
2021-06-05,AL,18.0,False
2021-06-12,AL,22.0,False
2021-06-19,AL,8.0,False
2021-06-26,AL,7.0,False
2021-07-03,AL,17.0,False
2021-07-10,AL,7.0,False
2021-07-17,AL,18.0,False
2021-07-24,AL,14.0,False
2021-07-31,AL,45.0,False
2021-08-07,AL,29.0,False
2021-08-14,AL,22.0,False
2021-08-21,AL,30.0,False
2021-08-28,AL,41.0,False
2021-09-04,AL,47.0,False
2021-09-11,AL,30.0,False
2021-09-18,AL,30.0,False
2021-09-25,AL,15.0,False
2021-10-02,AL,7.0,False
2021-10-09,AL,13.0,False
2021-10-16,AL,5.0,False
2021-10-23,AL,6.0,False
2021-10-30,AL,12.0,False
2021-11-06,AL,9.0,False
2021-11-13,AL,15.0,False
2021-11-20,AL,16.0,False
2021-11-27,AL,10.0,False
2021-12-04,AL,23.0,False
2021-12-11,AL,17.0,False
2021-12-18,AL,23.0,False
2021-12-25,AL,17.0,False
2022-01-01,AL,69.0,False
2022-01-08,AL,32.0,False
2022-01-15,AL,15.0,False
2022-01-22,AL,18.0,False
2022-01-29,AL,41.0,False
2022-02-05,AL,5.0,False
2022-02-12,AL,9.0,False
2022-02-19,AL,21.0,False
2022-02-26,AL,10.0,False
2022-03-05,AL,26.0,False
2022-03-12,AL,35.0,False
2022-03-19,AL,23.0,False
2022-03-26,AL,17.0,False
2022-04-02,AL,25.0,False
2022-04-09,AL,21.0,False
2022-04-16,AL,11.0,False
2022-04-23,AL,25.0,False
2022-04-30,AL,8.0,False
2022-05-07,AL,19.0,False
2022-05-14,AL,12.0,False
2022-05-21,AL,15.0,False
2022-05-28,AL,13.0,False
2022-06-04,AL,13.0,False
2022-06-11,AL,15.0,False
2022-06-18,AL,15.0,False
2022-06-25,AL,7.0,False
2022-07-02,AL,8.0,False
2022-07-09,AL,15.0,False
2022-07-16,AL,33.0,False
2022-07-23,AL,5.0,False
2022-07-30,AL,9.0,False
2022-08-06,AL,9.0,False
2022-08-13,AL,7.0,False
2022-08-20,AL,5.0,False
2022-08-27,AL,10.0,False
2022-09-03,AL,13.0,False
2022-09-10,AL,12.0,False
2022-09-17,AL,22.0,False
2022-09-24,AL,19.0,False
2022-10-01,AL,28.0,False
2022-10-08,AL,42.0,False
2022-10-15,AL,87.0,False
2022-10-22,AL,140.0,False
2022-10-29,AL,269.0,False
2022-11-05,AL,399.0,False
2022-11-12,AL,348.0,False
2022-11-19,AL,258.0,False
2022-11-26,AL,268.0,False
2022-12-03,AL,417.0,False
2022-12-10,AL,254.0,False
2022-12-17,AL,174.0,False
2022-12-24,AL,151.0,False
2022-12-31,AL,147.0,False
2023-01-07,AL,123.0,False
2023-01-14,AL,99.0,False
2023-01-21,AL,57.0,False
2023-01-28,AL,42.0,False
2023-02-04,AL,35.0,False
2023-02-11,AL,29.0,False
2023-02-18,AL,30.0,False
2023-02-25,AL,29.0,False
2023-03-04,AL,15.0,False
2023-03-11,AL,17.0,False
2023-03-18,AL,22.0,False
2023-03-25,AL,19.0,False
2023-04-01,AL,27.0,False
2023-04-08,AL,17.0,False
2023-04-15,AL,16.0,False
2023-04-22,AL,20.0,False
2023-04-29,AL,11.0,False
2023-05-06,AL,4.0,False
2023-05-13,AL,14.0,False
2023-05-20,AL,10.0,False
2023-05-27,AL,11.0,False
2023-06-03,AL,25.0,False
2023-06-10,AL,14.0,False
2023-06-17,AL,5.0,False
2023-06-24,AL,11.0,False
2023-07-01,AL,11.0,False
2023-07-08,AL,3.0,False
2023-07-15,AL,14.0,False
2023-07-22,AL,15.0,False
2023-07-29,AL,30.0,False
2023-08-05,AL,13.0,False
2023-08-12,AL,9.0,False
2023-08-19,AL,7.0,False
2023-08-26,AL,12.0,False
2023-09-02,AL,12.0,False
2023-09-09,AL,5.0,False
2023-09-16,AL,20.0,False
2023-09-23,AL,8.0,False
2023-09-30,AL,20.0,False
2023-10-07,AL,20.0,False
2023-10-14,AL,24.0,False
2023-10-21,AL,30.0,False
2023-10-28,AL,30.0,False
2023-11-04,AL,37.0,False
2023-11-11,AL,56.0,False
2023-11-18,AL,73.0,False
2023-11-25,AL,71.0,False
2023-12-02,AL,84.0,False
2023-12-09,AL,110.0,False
2023-12-16,AL,143.0,False
2023-12-23,AL,269.0,False
2023-12-30,AL,318.0,False
2024-01-06,AL,348.0,False
2024-01-13,AL,226.0,False
2024-01-20,AL,169.0,False
2024-01-27,AL,140.0,False
2024-02-03,AL,103.0,False
2024-02-10,AL,109.0,False
2024-02-17,AL,120.0,False
2024-02-24,AL,87.0,False
2024-03-02,AL,81.0,False
2024-03-09,AL,84.0,False
2024-03-16,AL,64.0,False
2024-03-23,AL,69.0,False
2024-03-30,AL,60.0,False
2024-04-06,AL,39.0,False
2024-04-13,AL,19.0,False
2024-04-20,AL,17.0,False
2024-04-27,AL,15.0,False
2024-05-04,AL,10.0,False
2024-05-11,AL,0.0,False
2024-05-18,AL,2.0,False
2024-05-25,AL,0.0,False
2024-06-01,AL,0.0,False
2024-06-08,AL,0.0,False
2024-06-15,AL,0.0,False
2024-06-22,AL,0.0,False
2024-06-29,AL,0.0,False
2024-07-06,AL,0.0,False
2024-07-13,AL,0.0,False
2024-07-20,AL,0.0,False
2024-07-27,AL,0.0,False
2024-08-03,AL,1.0,False
2024-08-10,AL,0.0,False
2024-08-17,AL,0.0,False
2024-08-24,AL,0.0,False
2024-08-31,AL,1.0,False
2024-09-07,AL,0.0,False
2024-09-14,AL,0.0,False
2024-09-21,AL,0.0,False
2024-09-28,AL,0.0,False
2024-10-05,AL,0.0,False
2024-10-12,AL,2.0,False
2024-10-19,AL,6.0,False
2024-10-26,AL,9.0,False
2024-11-02,AL,13.0,True
2024-11-09,AL,32.0,True
2024-11-16,AL,44.0,True
2024-11-23,AL,50.0,True
2024-11-30,AL,65.0,True
2024-12-07,AL,102.0,True
2024-12-14,AL,193.0,True
2024-12-21,AL,432.0,True
2024-12-28,AL,661.0,True
2025-01-04,AL,684.0,True
2025-01-11,AL,473.0,True
2025-01-18,AL,488.0,True
2025-01-25,AL,626.0,True
2025-02-01,AL,734.0,True
2025-02-08,AL,660.0,True
2025-02-15,AL,415.0,True
2025-02-22,AL,286.0,True
2025-03-01,AL,329.0,True
2025-03-08,AL,314.0,True
2025-03-15,AL,272.0,True
2025-03-22,AL,192.0,True
2025-03-29,AL,169.0,True
2025-04-05,AL,85.0,True
2025-04-12,AL,54.0,True
2025-04-19,AL,49.0,True
2025-04-26,AL,35.0,True
2025-05-03,AL,27.0,True
2025-05-10,AL,33.0,True
2025-05-17,AL,37.0,True
2025-05-24,AL,28.0,True
2025-05-31,AL,11.0,True
2025-06-07,AL,14.0,True
2025-06-14,AL,18.0,True
2025-06-21,AL,22.0,True
2025-06-28,AL,27.0,True
2025-07-05,AL,15.0,True
2025-07-12,AL,11.0,True
2025-07-19,AL,13.0,True
2025-07-26,AL,16.0,True
2025-08-02,AL,19.0,True
2025-08-09,AL,17.0,True
2025-08-16,AL,27.0,True
2025-08-23,AL,24.0,True
2025-08-30,AL,29.0,True
2025-09-06,AL,23.0,True
2025-09-13,AL,31.0,True
2025-09-20,AL,15.0,True
2025-09-27,AL,18.0,True
2025-10-04,AL,21.0,True
2025-10-11,AL,14.0,True
2025-10-18,AL,12.0,True
2025-10-25,AL,11.0,True
2025-11-01,AL,15.0,True
2025-11-08,AL,18.0,True
2025-11-15,AL,31.0,True
2025-11-22,AL,37.0,True
2025-11-29,AL,46.0,True
2025-12-06,AL,67.0,True
2025-12-13,AL,104.0,True
2025-12-20,AL,275.0,True
2025-12-27,AL,498.0,True
2026-01-03,AL,501.0,True
2026-01-10,AL,316.0,True
2026-01-17,AL,206.0,True
2026-01-24,AL,250.0,True
2026-01-31,AL,262.0,True
2026-02-07,AL,355.0,True
2026-02-14,AL,437.0,True
2026-02-21,AL,333.0,True
2026-02-28,AL,180.0,True
2026-03-07,AL,145.0,True
2026-03-14,AL,105.0,True
2026-03-21,AL,58.0,True
2026-03-28,AL,45.0,True
2026-04-04,AL,30.0,True
2026-04-11,AL,33.0,True
